try 420, z = -0.4551649761622749
try 180, z = 1.0776827751265998
try 292, z = 4.0414851378164895
try 244, z = -0.14818424890232043
try 4, z = -0.2511655960667213
try 212, z = 0.7358230047834208
try 116, z = -0.38584725345066767
try 308, z = 0.09601555636396875
try 68, z = -2.9431571788355058
try 484, z = 2.861960343002227
try 388, z = -0.4484478942131427
try 500, z = 4.291611790391736
try 372, z = -2.514230180471991
try 340, z = 0.13505202317522766
try 356, z = -0.30093710006644814
try 52, z = -2.804449154884024
try 20, z = -0.7676095397956466
try 132, z = -0.7018330888574484
try 436, z = -1.2636376926418036
try 276, z = -0.27292831869632306
try 148, z = 0.042142518763357714
try 164, z = -1.7573365621148362
try 101, z = -1.9140980263152465
try 405, z = -2.3169108533532383
try 85, z = -0.7351799918224516
try 37, z = -0.4922454704097237
try 197, z = 0.7316141794068092
try 229, z = 1.5705691140481628
try 181, z = 1.0541548503129594
try 325, z = 0.1758838852762973
try 213, z = 1.9269627824176274
try 453, z = -0.7989257497847401
try 469, z = -0.47016682256089
try 261, z = 0.3402658041260126
try 293, z = -1.1216932178875936
try 389, z = -0.6294717354961883
try 117, z = -0.9514703102442285
try 5, z = -3.0909127394331035
try 309, z = -0.9870928732783069
try 245, z = 0.5127866092116072
try 373, z = -1.7617942384935246
try 69, z = 0.2716167172014792
try 421, z = 0.006981092747467028
try 485, z = -0.09144601396690506
try 357, z = -0.36682066984211725
try 53, z = -0.9216655886982487
try 501, z = -1.1321690379039133
try 437, z = 1.6231770319382328
try 341, z = -0.4652158075615297
try 21, z = -1.24443941015387
try 277, z = 0.38979068118971594
try 133, z = 0.8442504993051301
try 149, z = -0.7896030242598286
try 165, z = -0.6051929969006145
try 102, z = -0.1637373291480148
try 86, z = -0.7948637484373865
try 406, z = 4.971791738652347
try 198, z = -0.3541564665621136
try 38, z = 0.08659892193008877
try 326, z = -0.8896845962625044
try 454, z = -0.8902377971270405
try 182, z = -0.6416613226948242
try 470, z = -0.47205758286477584
try 6, z = 0.33283616405838906
try 230, z = 1.5656585545288642
try 294, z = 0.15698996477758104
try 422, z = -0.9589514671847998
try 214, z = 0.18338035759799787
try 262, z = -1.846150362035871
try 390, z = -0.17686005204589564
try 486, z = 0.5927558747027954
try 118, z = -2.453617947350004
try 70, z = -1.1092043364253739
try 310, z = 1.1143904613194913
try 358, z = -0.40101569287582806
try 374, z = 0.48073976821214504
try 246, z = -1.349662526432253
try 438, z = -1.8684890627809554
try 54, z = 3.5411003467225735
try 502, z = -1.018132168488936
try 342, z = -0.1497647376088315
try 22, z = -0.6172862325673498
try 278, z = 0.6595183148598889
try 150, z = 1.0391676420407303
try 134, z = -0.1571571143818944
try 166, z = -0.011166793559349004
try 103, z = -0.9064744130634318
try 87, z = -0.7799542271080738
try 407, z = -0.6446882084738592
try 199, z = 0.21478537915743467
try 39, z = -0.4154077318925306
try 327, z = -0.710736956634003
try 471, z = -0.5983279914739387
try 7, z = -1.7301438888989997
try 295, z = -0.34016715611227083
try 183, z = -1.015084715032693
try 231, z = 0.5753830204919375
try 423, z = -0.6990223463195394
try 391, z = -0.5652860835742328
try 215, z = -1.176910310901799
try 487, z = -1.99329793709438
try 311, z = 0.014789192271971978
try 71, z = 1.4157658598233513
try 455, z = -3.2761255706654655
try 375, z = 0.988111585304342
try 359, z = -1.1774642416057686
try 119, z = -1.095138770266104
try 263, z = -1.8684040114541223
try 55, z = -1.1718221817707601
try 439, z = -0.46715410092708404
try 23, z = -0.5654819262453586
try 503, z = -2.664394938128165
try 247, z = -0.31137277713483785
try 151, z = 0.6135256566317645
try 343, z = -0.9789273908432422
try 135, z = 1.668196292695043
try 279, z = -0.6662568267543919
try 167, z = 0.4613426060504975
try 88, z = -0.9292609609368073
try 104, z = -0.6240226052899577
try 408, z = -0.4083976726095298
try 40, z = -0.22175077730444784
try 200, z = -1.3972017728721007
try 328, z = 1.1902675637755438
try 184, z = -0.5150107857762912
try 296, z = -1.0834383260294178
try 472, z = 0.31950043904953596
try 232, z = -0.8443641823633883
try 392, z = -0.666728710419041
try 424, z = 1.665023796938315
try 8, z = -0.09353677113411392
try 488, z = -0.7604453230707814
try 456, z = -0.46543171485078344
try 312, z = 0.5778061908641396
try 216, z = 0.13226405629316543
try 376, z = 0.8763519782259568
try 72, z = -0.7318008726893865
try 360, z = 0.6876554330825214
try 264, z = -0.6745643618647035
try 120, z = -0.8437535175435027
try 56, z = 0.4566426813028843
try 440, z = 0.23726473660015815
try 248, z = -0.1714417730350754
try 504, z = 0.041325651040818936
try 24, z = 0.21215602105232695
try 152, z = -1.0656962069029532
try 344, z = 0.1308621154565253
try 136, z = -0.5908346581196448
try 280, z = -3.6674377863375183
try 168, z = -1.4594084603958817
try 105, z = -0.0795024812082688
try 89, z = -1.223707976631699
try 41, z = 0.24289681388597428
try 409, z = 3.157118970395965
try 329, z = 0.22866150168541816
try 201, z = 1.4533020350006067
try 297, z = 0.5089593834420459
try 473, z = -0.2830665556161651
try 233, z = 0.30816935528093053
try 425, z = 0.36042241184532375
try 393, z = -0.860490616789437
try 185, z = -0.5076759243129784
try 217, z = 0.9050952508555591
try 9, z = -0.04372182314276795
try 489, z = 2.470406336171688
try 73, z = -1.1221852078612016
try 377, z = 0.20640314568870083
try 361, z = -0.5305192570519227
try 313, z = 0.14329671584144463
try 57, z = -0.7729520717000492
try 457, z = 0.47755104967793294
try 121, z = 2.11725175098235
try 265, z = -2.2548657576539997
try 441, z = 0.3223822312384884
